problem,duplication,ordering,genome_size,mutation_rate,seed,evaluations
encode,accumulate,dag,10000,0.002,908,24198
encode,accumulate,dag,10000,0.002,909,13068
encode,accumulate,dag,10000,0.002,910,32679
encode,accumulate,dag,10000,0.002,911,12779
encode,accumulate,dag,10000,0.002,912,27337
encode,accumulate,dag,10000,0.002,913,7415
encode,accumulate,dag,10000,0.002,914,124435
encode,accumulate,dag,10000,0.002,915,29016
encode,accumulate,dag,10000,0.002,916,260674
encode,accumulate,dag,10000,0.002,917,124967
encode,accumulate,dag,10000,0.002,918,12085
encode,accumulate,dag,10000,0.002,919,27280
encode,accumulate,dag,10000,0.002,920,31512
encode,accumulate,dag,10000,0.002,921,85997
encode,accumulate,dag,10000,0.002,922,14252
encode,accumulate,dag,10000,0.002,923,7598
encode,accumulate,dag,10000,0.002,924,65942
encode,accumulate,dag,10000,0.002,925,64461
encode,accumulate,dag,10000,0.002,926,9125
encode,accumulate,dag,10000,0.002,927,25196
encode,accumulate,dag,10000,0.002,928,54823
encode,accumulate,dag,10000,0.002,929,37109
encode,accumulate,dag,10000,0.002,930,17868
encode,accumulate,dag,10000,0.002,931,13643
encode,accumulate,dag,10000,0.002,932,15358
encode,accumulate,dag,10000,0.002,933,24515
encode,accumulate,dag,10000,0.002,934,62679
encode,accumulate,dag,10000,0.002,935,56264
encode,accumulate,dag,10000,0.002,936,46759
encode,accumulate,dag,10000,0.002,937,19238
encode,accumulate,dag,10000,0.002,938,30371
encode,accumulate,dag,10000,0.002,939,8900
encode,accumulate,dag,10000,0.002,940,14440
encode,accumulate,dag,10000,0.002,941,9162
encode,accumulate,dag,10000,0.002,942,17828
encode,accumulate,dag,10000,0.002,943,75053
encode,accumulate,dag,10000,0.002,944,16042
encode,accumulate,dag,10000,0.002,945,46655
encode,accumulate,dag,10000,0.002,946,11124
encode,accumulate,dag,10000,0.002,947,192681
encode,accumulate,dag,10000,0.002,948,6852
encode,accumulate,dag,10000,0.002,949,126122
encode,accumulate,dag,10000,0.002,950,15830
encode,accumulate,normal,10000,0.005,901,37011
encode,accumulate,normal,10000,0.005,902,17906
encode,accumulate,normal,10000,0.005,903,26929
encode,accumulate,normal,10000,0.005,904,27559
encode,accumulate,normal,10000,0.005,905,19043
encode,accumulate,normal,10000,0.005,906,14682
encode,accumulate,normal,10000,0.005,907,22394
encode,accumulate,normal,10000,0.005,908,11194
encode,accumulate,normal,10000,0.005,909,22268
encode,accumulate,normal,10000,0.005,910,48759
encode,accumulate,normal,10000,0.005,911,21705
encode,accumulate,normal,10000,0.005,912,25308
encode,accumulate,normal,10000,0.005,913,34247
encode,accumulate,normal,10000,0.005,914,17093
encode,accumulate,normal,10000,0.005,915,34508
encode,accumulate,normal,10000,0.005,916,27987
encode,accumulate,normal,10000,0.005,917,18187
encode,accumulate,normal,10000,0.005,918,25040
encode,accumulate,normal,10000,0.005,919,22741
encode,accumulate,normal,10000,0.005,920,45742
encode,accumulate,normal,10000,0.005,921,24058
encode,accumulate,normal,10000,0.005,922,11703
encode,accumulate,normal,10000,0.005,923,27090
encode,accumulate,normal,10000,0.005,924,11985
encode,accumulate,normal,10000,0.005,925,25732
encode,accumulate,normal,10000,0.005,926,21151
encode,accumulate,normal,10000,0.005,927,18515
encode,accumulate,normal,10000,0.005,928,20216
encode,accumulate,normal,10000,0.005,929,6503
encode,accumulate,normal,10000,0.005,930,12211
encode,accumulate,normal,10000,0.005,931,18741
encode,accumulate,normal,10000,0.005,932,71178
encode,accumulate,normal,10000,0.005,933,45816
encode,accumulate,normal,10000,0.005,934,58244
encode,accumulate,normal,10000,0.005,935,11691
encode,accumulate,normal,10000,0.005,936,17847
encode,accumulate,normal,10000,0.005,937,15520
encode,accumulate,normal,10000,0.005,938,30005
encode,accumulate,normal,10000,0.005,939,9359
encode,accumulate,normal,10000,0.005,940,9210
encode,accumulate,normal,10000,0.005,941,34589
encode,accumulate,normal,10000,0.005,942,69168
encode,accumulate,normal,10000,0.005,943,14095
encode,accumulate,normal,10000,0.005,944,11302
encode,accumulate,normal,10000,0.005,945,13435
encode,accumulate,normal,10000,0.005,946,18463
encode,accumulate,normal,10000,0.005,947,63056
encode,accumulate,normal,10000,0.005,948,19678
encode,accumulate,normal,10000,0.005,949,26138
encode,accumulate,normal,10000,0.005,950,15228
encode,accumulate,reorder,10000,0.002,901,37992
encode,accumulate,reorder,10000,0.002,902,42044
encode,accumulate,reorder,10000,0.002,903,19341
encode,accumulate,reorder,10000,0.002,904,6698
encode,accumulate,reorder,10000,0.002,905,16205
encode,accumulate,reorder,10000,0.002,906,113258
encode,accumulate,reorder,10000,0.002,907,30593
encode,accumulate,reorder,10000,0.002,908,18181
encode,accumulate,reorder,10000,0.002,909,34562
encode,accumulate,reorder,10000,0.002,910,145766
encode,accumulate,reorder,10000,0.002,911,15489
encode,accumulate,reorder,10000,0.002,912,9307
encode,accumulate,reorder,10000,0.002,913,31395
encode,accumulate,reorder,10000,0.002,914,44318
encode,accumulate,reorder,10000,0.002,915,74964
encode,accumulate,reorder,10000,0.002,916,37917
encode,accumulate,reorder,10000,0.002,917,4276
encode,accumulate,reorder,10000,0.002,918,9105
encode,accumulate,reorder,10000,0.002,919,11141
encode,accumulate,reorder,10000,0.002,920,40017
encode,accumulate,reorder,10000,0.002,921,32765
encode,accumulate,reorder,10000,0.002,922,13616
encode,accumulate,reorder,10000,0.002,923,12993
encode,accumulate,reorder,10000,0.002,924,37892
encode,accumulate,reorder,10000,0.002,925,14199
encode,accumulate,reorder,10000,0.002,926,8520
encode,accumulate,reorder,10000,0.002,927,19976
encode,accumulate,reorder,10000,0.002,928,164051
encode,accumulate,reorder,10000,0.002,929,19306
encode,accumulate,reorder,10000,0.002,930,20444
encode,accumulate,reorder,10000,0.002,931,7311
encode,accumulate,reorder,10000,0.002,932,24978
encode,accumulate,reorder,10000,0.002,933,11427
encode,accumulate,reorder,10000,0.002,934,89978
encode,accumulate,reorder,10000,0.002,935,26557
encode,accumulate,reorder,10000,0.002,936,8135
encode,accumulate,reorder,10000,0.002,937,3887
encode,accumulate,reorder,10000,0.002,938,24328
encode,accumulate,reorder,10000,0.002,939,7555
encode,accumulate,reorder,10000,0.002,940,18084
encode,accumulate,reorder,10000,0.002,941,11880
encode,accumulate,reorder,10000,0.002,942,13196
encode,accumulate,reorder,10000,0.002,943,5213
encode,accumulate,reorder,10000,0.002,944,21468
encode,accumulate,reorder,10000,0.002,945,7149
encode,accumulate,reorder,10000,0.002,946,14100
encode,accumulate,reorder,10000,0.002,947,10412
encode,accumulate,reorder,10000,0.002,948,14673
encode,accumulate,reorder,10000,0.002,949,17369
encode,accumulate,reorder,10000,0.002,950,23241
encode,single,dag,100,1,901,20905
encode,single,dag,100,1,902,64584
encode,single,dag,100,1,903,28219
encode,single,dag,100,1,904,31989
encode,single,dag,100,1,905,27009
encode,single,dag,100,1,906,36609
encode,single,dag,100,1,907,53707
encode,single,dag,100,1,908,49569
encode,single,dag,100,1,909,52197
encode,single,dag,100,1,910,34020
encode,single,dag,100,1,911,22587
encode,single,dag,100,1,912,34298
encode,single,dag,100,1,913,19354
encode,single,dag,100,1,914,18582
encode,single,dag,100,1,915,27605
encode,single,dag,100,1,916,23064
encode,single,dag,100,1,917,38791
encode,single,dag,100,1,918,57845
encode,single,dag,100,1,919,39510
encode,single,dag,100,1,920,23004
encode,single,dag,100,1,921,32379
encode,single,dag,100,1,922,112606
encode,single,dag,100,1,923,62100
encode,single,dag,100,1,924,36007
encode,single,dag,100,1,925,62262
encode,single,dag,100,1,926,31540
encode,single,dag,100,1,927,24398
encode,single,dag,100,1,928,42847
encode,single,dag,100,1,929,34119
encode,single,dag,100,1,930,37703
encode,single,dag,100,1,931,20964
encode,single,dag,100,1,932,26522
encode,single,dag,100,1,933,62298
encode,single,dag,100,1,934,28894
encode,single,dag,100,1,935,60463
encode,single,dag,100,1,936,76385
encode,single,dag,100,1,937,23701
encode,single,dag,100,1,938,65217
encode,single,dag,100,1,939,41004
encode,single,dag,100,1,940,20463
encode,single,dag,100,1,941,39479
encode,single,dag,100,1,942,33369
encode,single,dag,100,1,943,25225
encode,single,dag,100,1,944,32301
encode,single,dag,100,1,945,153533
encode,single,dag,100,1,946,30769
encode,single,dag,100,1,947,13385
encode,single,dag,100,1,948,35717
encode,single,dag,100,1,949,45914
encode,single,dag,100,1,950,44537
encode,single,normal,2000,1,901,20447
encode,single,normal,2000,1,902,57606
encode,single,normal,2000,1,903,14461
encode,single,normal,2000,1,904,63190
encode,single,normal,2000,1,905,30662
encode,single,normal,2000,1,906,13169
encode,single,normal,2000,1,907,90783
encode,single,normal,2000,1,908,16076
encode,single,normal,2000,1,909,37500
encode,single,normal,2000,1,910,13388
encode,single,normal,2000,1,911,31705
